Country/Region,Date,Deaths
Australia,2020-01-22,0
Canada,2020-01-22,0
China,2020-01-22,17
Denmark,2020-01-22,0
France,2020-01-22,0
Netherlands,2020-01-22,0
New Zealand,2020-01-22,0
United Kingdom,2020-01-22,0
Australia,2020-01-23,0
Canada,2020-01-23,0
China,2020-01-23,18
Denmark,2020-01-23,0
France,2020-01-23,0
Netherlands,2020-01-23,0
New Zealand,2020-01-23,0
United Kingdom,2020-01-23,0
Australia,2020-01-24,0
Canada,2020-01-24,0
China,2020-01-24,26
Denmark,2020-01-24,0
France,2020-01-24,0
Netherlands,2020-01-24,0
New Zealand,2020-01-24,0
United Kingdom,2020-01-24,0
Australia,2020-01-25,0
Canada,2020-01-25,0
China,2020-01-25,42
Denmark,2020-01-25,0
France,2020-01-25,0
Netherlands,2020-01-25,0
New Zealand,2020-01-25,0
United Kingdom,2020-01-25,0
Australia,2020-01-26,0
Canada,2020-01-26,0
China,2020-01-26,56
Denmark,2020-01-26,0
France,2020-01-26,0
Netherlands,2020-01-26,0
New Zealand,2020-01-26,0
United Kingdom,2020-01-26,0
Australia,2020-01-27,0
Canada,2020-01-27,0
China,2020-01-27,82
Denmark,2020-01-27,0
France,2020-01-27,0
Netherlands,2020-01-27,0
New Zealand,2020-01-27,0
United Kingdom,2020-01-27,0
Australia,2020-01-28,0
Canada,2020-01-28,0
China,2020-01-28,131
Denmark,2020-01-28,0
France,2020-01-28,0
Netherlands,2020-01-28,0
New Zealand,2020-01-28,0
United Kingdom,2020-01-28,0
Australia,2020-01-29,0
Canada,2020-01-29,0
China,2020-01-29,133
Denmark,2020-01-29,0
France,2020-01-29,0
Netherlands,2020-01-29,0
New Zealand,2020-01-29,0
United Kingdom,2020-01-29,0
Australia,2020-01-30,0
Canada,2020-01-30,0
China,2020-01-30,171
Denmark,2020-01-30,0
France,2020-01-30,0
Netherlands,2020-01-30,0
New Zealand,2020-01-30,0
United Kingdom,2020-01-30,0
Australia,2020-01-31,0
Canada,2020-01-31,0
China,2020-01-31,213
Denmark,2020-01-31,0
France,2020-01-31,0
Netherlands,2020-01-31,0
New Zealand,2020-01-31,0
United Kingdom,2020-01-31,0
Australia,2020-02-01,0
Canada,2020-02-01,0
China,2020-02-01,259
Denmark,2020-02-01,0
France,2020-02-01,0
Netherlands,2020-02-01,0
New Zealand,2020-02-01,0
United Kingdom,2020-02-01,0
Australia,2020-02-02,0
Canada,2020-02-02,0
China,2020-02-02,361
Denmark,2020-02-02,0
France,2020-02-02,0
Netherlands,2020-02-02,0
New Zealand,2020-02-02,0
United Kingdom,2020-02-02,0
Australia,2020-02-03,0
Canada,2020-02-03,0
China,2020-02-03,425
Denmark,2020-02-03,0
France,2020-02-03,0
Netherlands,2020-02-03,0
New Zealand,2020-02-03,0
United Kingdom,2020-02-03,0
Australia,2020-02-04,0
Canada,2020-02-04,0
China,2020-02-04,491
Denmark,2020-02-04,0
France,2020-02-04,0
Netherlands,2020-02-04,0
New Zealand,2020-02-04,0
United Kingdom,2020-02-04,0
Australia,2020-02-05,0
Canada,2020-02-05,0
China,2020-02-05,563
Denmark,2020-02-05,0
France,2020-02-05,0
Netherlands,2020-02-05,0
New Zealand,2020-02-05,0
United Kingdom,2020-02-05,0
Australia,2020-02-06,0
Canada,2020-02-06,0
China,2020-02-06,633
Denmark,2020-02-06,0
France,2020-02-06,0
Netherlands,2020-02-06,0
New Zealand,2020-02-06,0
United Kingdom,2020-02-06,0
Australia,2020-02-07,0
Canada,2020-02-07,0
China,2020-02-07,718
Denmark,2020-02-07,0
France,2020-02-07,0
Netherlands,2020-02-07,0
New Zealand,2020-02-07,0
United Kingdom,2020-02-07,0
Australia,2020-02-08,0
Canada,2020-02-08,0
China,2020-02-08,805
Denmark,2020-02-08,0
France,2020-02-08,0
Netherlands,2020-02-08,0
New Zealand,2020-02-08,0
United Kingdom,2020-02-08,0
Australia,2020-02-09,0
Canada,2020-02-09,0
China,2020-02-09,905
Denmark,2020-02-09,0
France,2020-02-09,0
Netherlands,2020-02-09,0
New Zealand,2020-02-09,0
United Kingdom,2020-02-09,0
Australia,2020-02-10,0
Canada,2020-02-10,0
China,2020-02-10,1012
Denmark,2020-02-10,0
France,2020-02-10,0
Netherlands,2020-02-10,0
New Zealand,2020-02-10,0
United Kingdom,2020-02-10,0
Australia,2020-02-11,0
Canada,2020-02-11,0
China,2020-02-11,1112
Denmark,2020-02-11,0
France,2020-02-11,0
Netherlands,2020-02-11,0
New Zealand,2020-02-11,0
United Kingdom,2020-02-11,0
Australia,2020-02-12,0
Canada,2020-02-12,0
China,2020-02-12,1117
Denmark,2020-02-12,0
France,2020-02-12,0
Netherlands,2020-02-12,0
New Zealand,2020-02-12,0
United Kingdom,2020-02-12,0
Australia,2020-02-13,0
Canada,2020-02-13,0
China,2020-02-13,1369
Denmark,2020-02-13,0
France,2020-02-13,0
Netherlands,2020-02-13,0
New Zealand,2020-02-13,0
United Kingdom,2020-02-13,0
Australia,2020-02-14,0
Canada,2020-02-14,0
China,2020-02-14,1521
Denmark,2020-02-14,0
France,2020-02-14,0
Netherlands,2020-02-14,0
New Zealand,2020-02-14,0
United Kingdom,2020-02-14,0
Australia,2020-02-15,0
Canada,2020-02-15,0
China,2020-02-15,1663
Denmark,2020-02-15,0
France,2020-02-15,0
Netherlands,2020-02-15,0
New Zealand,2020-02-15,0
United Kingdom,2020-02-15,0
Australia,2020-02-16,0
Canada,2020-02-16,0
China,2020-02-16,1766
Denmark,2020-02-16,0
France,2020-02-16,0
Netherlands,2020-02-16,0
New Zealand,2020-02-16,0
United Kingdom,2020-02-16,0
Australia,2020-02-17,0
Canada,2020-02-17,0
China,2020-02-17,1864
Denmark,2020-02-17,0
France,2020-02-17,0
Netherlands,2020-02-17,0
New Zealand,2020-02-17,0
United Kingdom,2020-02-17,0
Australia,2020-02-18,0
Canada,2020-02-18,0
China,2020-02-18,2003
Denmark,2020-02-18,0
France,2020-02-18,0
Netherlands,2020-02-18,0
New Zealand,2020-02-18,0
United Kingdom,2020-02-18,0
Australia,2020-02-19,0
Canada,2020-02-19,0
China,2020-02-19,2116
Denmark,2020-02-19,0
France,2020-02-19,0
Netherlands,2020-02-19,0
New Zealand,2020-02-19,0
United Kingdom,2020-02-19,0
Australia,2020-02-20,0
Canada,2020-02-20,0
China,2020-02-20,2238
Denmark,2020-02-20,0
France,2020-02-20,0
Netherlands,2020-02-20,0
New Zealand,2020-02-20,0
United Kingdom,2020-02-20,0
Australia,2020-02-21,0
Canada,2020-02-21,0
China,2020-02-21,2238
Denmark,2020-02-21,0
France,2020-02-21,0
Netherlands,2020-02-21,0
New Zealand,2020-02-21,0
United Kingdom,2020-02-21,0
Australia,2020-02-22,0
Canada,2020-02-22,0
China,2020-02-22,2443
Denmark,2020-02-22,0
France,2020-02-22,0
Netherlands,2020-02-22,0
New Zealand,2020-02-22,0
United Kingdom,2020-02-22,0
Australia,2020-02-23,0
Canada,2020-02-23,0
China,2020-02-23,2445
Denmark,2020-02-23,0
France,2020-02-23,0
Netherlands,2020-02-23,0
New Zealand,2020-02-23,0
United Kingdom,2020-02-23,0
Australia,2020-02-24,0
Canada,2020-02-24,0
China,2020-02-24,2595
Denmark,2020-02-24,0
France,2020-02-24,0
Netherlands,2020-02-24,0
New Zealand,2020-02-24,0
United Kingdom,2020-02-24,0
Australia,2020-02-25,0
Canada,2020-02-25,0
China,2020-02-25,2665
Denmark,2020-02-25,0
France,2020-02-25,0
Netherlands,2020-02-25,0
New Zealand,2020-02-25,0
United Kingdom,2020-02-25,0
Australia,2020-02-26,0
Canada,2020-02-26,0
China,2020-02-26,2717
Denmark,2020-02-26,0
France,2020-02-26,0
Netherlands,2020-02-26,0
New Zealand,2020-02-26,0
United Kingdom,2020-02-26,0
Australia,2020-02-27,0
Canada,2020-02-27,0
China,2020-02-27,2746
Denmark,2020-02-27,0
France,2020-02-27,0
Netherlands,2020-02-27,0
New Zealand,2020-02-27,0
United Kingdom,2020-02-27,0
Australia,2020-02-28,0
Canada,2020-02-28,0
China,2020-02-28,2790
Denmark,2020-02-28,0
France,2020-02-28,0
Netherlands,2020-02-28,0
New Zealand,2020-02-28,0
United Kingdom,2020-02-28,0
Australia,2020-02-29,0
Canada,2020-02-29,0
China,2020-02-29,2837
Denmark,2020-02-29,0
France,2020-02-29,0
Netherlands,2020-02-29,0
New Zealand,2020-02-29,0
United Kingdom,2020-02-29,0
Australia,2020-03-01,1
Canada,2020-03-01,0
China,2020-03-01,2872
Denmark,2020-03-01,0
France,2020-03-01,0
Netherlands,2020-03-01,0
New Zealand,2020-03-01,0
United Kingdom,2020-03-01,0
Australia,2020-03-02,1
Canada,2020-03-02,0
China,2020-03-02,2914
Denmark,2020-03-02,0
France,2020-03-02,0
Netherlands,2020-03-02,0
New Zealand,2020-03-02,0
United Kingdom,2020-03-02,0
Australia,2020-03-03,1
Canada,2020-03-03,0
China,2020-03-03,2947
Denmark,2020-03-03,0
France,2020-03-03,0
Netherlands,2020-03-03,0
New Zealand,2020-03-03,0
United Kingdom,2020-03-03,0
Australia,2020-03-04,2
Canada,2020-03-04,0
China,2020-03-04,2983
Denmark,2020-03-04,0
France,2020-03-04,0
Netherlands,2020-03-04,0
New Zealand,2020-03-04,0
United Kingdom,2020-03-04,0
Australia,2020-03-05,2
Canada,2020-03-05,0
China,2020-03-05,3015
Denmark,2020-03-05,0
France,2020-03-05,0
Netherlands,2020-03-05,0
New Zealand,2020-03-05,0
United Kingdom,2020-03-05,0
Australia,2020-03-06,2
Canada,2020-03-06,0
China,2020-03-06,3044
Denmark,2020-03-06,0
France,2020-03-06,0
Netherlands,2020-03-06,0
New Zealand,2020-03-06,0
United Kingdom,2020-03-06,0
Australia,2020-03-07,2
Canada,2020-03-07,0
China,2020-03-07,3072
Denmark,2020-03-07,0
France,2020-03-07,0
Netherlands,2020-03-07,0
New Zealand,2020-03-07,0
United Kingdom,2020-03-07,0
Australia,2020-03-08,3
Canada,2020-03-08,0
China,2020-03-08,3100
Denmark,2020-03-08,0
France,2020-03-08,0
Netherlands,2020-03-08,0
New Zealand,2020-03-08,0
United Kingdom,2020-03-08,0
Australia,2020-03-09,3
Canada,2020-03-09,1
China,2020-03-09,3123
Denmark,2020-03-09,0
France,2020-03-09,0
Netherlands,2020-03-09,0
New Zealand,2020-03-09,0
United Kingdom,2020-03-09,0
Australia,2020-03-10,3
Canada,2020-03-10,1
China,2020-03-10,3139
Denmark,2020-03-10,0
France,2020-03-10,0
Netherlands,2020-03-10,0
New Zealand,2020-03-10,0
United Kingdom,2020-03-10,0
Australia,2020-03-11,3
Canada,2020-03-11,1
China,2020-03-11,3161
Denmark,2020-03-11,0
France,2020-03-11,0
Netherlands,2020-03-11,0
New Zealand,2020-03-11,0
United Kingdom,2020-03-11,0
Australia,2020-03-12,3
Canada,2020-03-12,1
China,2020-03-12,3172
Denmark,2020-03-12,0
France,2020-03-12,0
Netherlands,2020-03-12,0
New Zealand,2020-03-12,0
United Kingdom,2020-03-12,0
Australia,2020-03-13,3
Canada,2020-03-13,1
China,2020-03-13,3180
Denmark,2020-03-13,0
France,2020-03-13,0
Netherlands,2020-03-13,0
New Zealand,2020-03-13,0
United Kingdom,2020-03-13,0
Australia,2020-03-14,3
Canada,2020-03-14,1
China,2020-03-14,3193
Denmark,2020-03-14,0
France,2020-03-14,0
Netherlands,2020-03-14,0
New Zealand,2020-03-14,0
United Kingdom,2020-03-14,0
Australia,2020-03-15,3
Canada,2020-03-15,1
China,2020-03-15,3203
Denmark,2020-03-15,0
France,2020-03-15,0
Netherlands,2020-03-15,0
New Zealand,2020-03-15,0
United Kingdom,2020-03-15,0
Australia,2020-03-16,3
Canada,2020-03-16,4
China,2020-03-16,3217
Denmark,2020-03-16,0
France,2020-03-16,1
Netherlands,2020-03-16,0
New Zealand,2020-03-16,0
United Kingdom,2020-03-16,1
Australia,2020-03-17,5
Canada,2020-03-17,6
China,2020-03-17,3230
Denmark,2020-03-17,0
France,2020-03-17,1
Netherlands,2020-03-17,0
New Zealand,2020-03-17,0
United Kingdom,2020-03-17,1
Australia,2020-03-18,6
Canada,2020-03-18,11
China,2020-03-18,3241
Denmark,2020-03-18,0
France,2020-03-18,1
Netherlands,2020-03-18,0
New Zealand,2020-03-18,0
United Kingdom,2020-03-18,2
Australia,2020-03-19,6
Canada,2020-03-19,12
China,2020-03-19,3249
Denmark,2020-03-19,0
France,2020-03-19,1
Netherlands,2020-03-19,1
New Zealand,2020-03-19,0
United Kingdom,2020-03-19,2
Australia,2020-03-20,7
Canada,2020-03-20,15
China,2020-03-20,3253
Denmark,2020-03-20,0
France,2020-03-20,1
Netherlands,2020-03-20,1
New Zealand,2020-03-20,0
United Kingdom,2020-03-20,2
Australia,2020-03-21,7
Canada,2020-03-21,18
China,2020-03-21,3259
Denmark,2020-03-21,0
France,2020-03-21,1
Netherlands,2020-03-21,1
New Zealand,2020-03-21,0
United Kingdom,2020-03-21,2
Australia,2020-03-22,7
Canada,2020-03-22,22
China,2020-03-22,3274
Denmark,2020-03-22,0
France,2020-03-22,2
Netherlands,2020-03-22,1
New Zealand,2020-03-22,0
United Kingdom,2020-03-22,1
Australia,2020-03-23,7
Canada,2020-03-23,29
China,2020-03-23,3274
Denmark,2020-03-23,0
France,2020-03-23,2
Netherlands,2020-03-23,1
New Zealand,2020-03-23,0
United Kingdom,2020-03-23,1
Australia,2020-03-24,8
Canada,2020-03-24,34
China,2020-03-24,3281
Denmark,2020-03-24,0
France,2020-03-24,2
Netherlands,2020-03-24,1
New Zealand,2020-03-24,0
United Kingdom,2020-03-24,1
Australia,2020-03-25,8
Canada,2020-03-25,47
China,2020-03-25,3285
Denmark,2020-03-25,0
France,2020-03-25,2
Netherlands,2020-03-25,1
New Zealand,2020-03-25,0
United Kingdom,2020-03-25,1
Australia,2020-03-26,13
Canada,2020-03-26,59
China,2020-03-26,3291
Denmark,2020-03-26,0
France,2020-03-26,2
Netherlands,2020-03-26,1
New Zealand,2020-03-26,0
United Kingdom,2020-03-26,1
Australia,2020-03-27,13
Canada,2020-03-27,66
China,2020-03-27,3296
Denmark,2020-03-27,0
France,2020-03-27,2
Netherlands,2020-03-27,1
New Zealand,2020-03-27,0
United Kingdom,2020-03-27,2
Australia,2020-03-28,14
Canada,2020-03-28,83
China,2020-03-28,3299
Denmark,2020-03-28,0
France,2020-03-28,3
Netherlands,2020-03-28,1
New Zealand,2020-03-28,0
United Kingdom,2020-03-28,2
Australia,2020-03-29,16
Canada,2020-03-29,98
China,2020-03-29,3304
Denmark,2020-03-29,0
France,2020-03-29,5
Netherlands,2020-03-29,1
New Zealand,2020-03-29,0
United Kingdom,2020-03-29,2
Australia,2020-03-30,17
Canada,2020-03-30,117
China,2020-03-30,3308
Denmark,2020-03-30,0
France,2020-03-30,5
Netherlands,2020-03-30,1
New Zealand,2020-03-30,0
United Kingdom,2020-03-30,4
Australia,2020-03-31,18
Canada,2020-03-31,152
China,2020-03-31,3309
Denmark,2020-03-31,0
France,2020-03-31,9
Netherlands,2020-03-31,1
New Zealand,2020-03-31,0
United Kingdom,2020-03-31,4
Australia,2020-04-01,20
Canada,2020-04-01,175
China,2020-04-01,3316
Denmark,2020-04-01,0
France,2020-04-01,12
Netherlands,2020-04-01,2
New Zealand,2020-04-01,0
United Kingdom,2020-04-01,5
Australia,2020-04-02,24
Canada,2020-04-02,224
China,2020-04-02,3322
Denmark,2020-04-02,0
France,2020-04-02,12
Netherlands,2020-04-02,2
New Zealand,2020-04-02,0
United Kingdom,2020-04-02,5
Australia,2020-04-03,28
Canada,2020-04-03,277
China,2020-04-03,3326
Denmark,2020-04-03,0
France,2020-04-03,14
Netherlands,2020-04-03,3
New Zealand,2020-04-03,0
United Kingdom,2020-04-03,6
Australia,2020-04-04,30
Canada,2020-04-04,360
China,2020-04-04,3330
Denmark,2020-04-04,0
France,2020-04-04,14
Netherlands,2020-04-04,5
New Zealand,2020-04-04,0
United Kingdom,2020-04-04,7
Australia,2020-04-05,35
Canada,2020-04-05,435
China,2020-04-05,3333
Denmark,2020-04-05,0
France,2020-04-05,15
Netherlands,2020-04-05,5
New Zealand,2020-04-05,0
United Kingdom,2020-04-05,10
Australia,2020-04-06,40
Canada,2020-04-06,503
China,2020-04-06,3335
Denmark,2020-04-06,0
France,2020-04-06,15
Netherlands,2020-04-06,7
New Zealand,2020-04-06,0
United Kingdom,2020-04-06,12
Australia,2020-04-07,45
Canada,2020-04-07,581
China,2020-04-07,3335
Denmark,2020-04-07,0
France,2020-04-07,15
Netherlands,2020-04-07,7
New Zealand,2020-04-07,0
United Kingdom,2020-04-07,14
Australia,2020-04-08,50
Canada,2020-04-08,670
China,2020-04-08,3337
Denmark,2020-04-08,0
France,2020-04-08,18
Netherlands,2020-04-08,7
New Zealand,2020-04-08,0
United Kingdom,2020-04-08,15
Australia,2020-04-09,51
Canada,2020-04-09,773
China,2020-04-09,3339
Denmark,2020-04-09,0
France,2020-04-09,18
Netherlands,2020-04-09,7
New Zealand,2020-04-09,0
United Kingdom,2020-04-09,18
Australia,2020-04-10,54
Canada,2020-04-10,867
China,2020-04-10,3340
Denmark,2020-04-10,0
France,2020-04-10,18
Netherlands,2020-04-10,9
New Zealand,2020-04-10,0
United Kingdom,2020-04-10,19
Australia,2020-04-11,57
Canada,2020-04-11,986
China,2020-04-11,3343
Denmark,2020-04-11,0
France,2020-04-11,19
Netherlands,2020-04-11,10
New Zealand,2020-04-11,0
United Kingdom,2020-04-11,21
Australia,2020-04-12,60
Canada,2020-04-12,1095
China,2020-04-12,3343
Denmark,2020-04-12,0
France,2020-04-12,19
Netherlands,2020-04-12,10
New Zealand,2020-04-12,0
United Kingdom,2020-04-12,21
Australia,2020-04-13,61
Canada,2020-04-13,1225
China,2020-04-13,3345
Denmark,2020-04-13,0
France,2020-04-13,19
Netherlands,2020-04-13,10
New Zealand,2020-04-13,0
United Kingdom,2020-04-13,23
Australia,2020-04-14,62
Canada,2020-04-14,1361
China,2020-04-14,3345
Denmark,2020-04-14,0
France,2020-04-14,19
Netherlands,2020-04-14,10
New Zealand,2020-04-14,0
United Kingdom,2020-04-14,24
Australia,2020-04-15,63
Canada,2020-04-15,1515
China,2020-04-15,3346
Denmark,2020-04-15,0
France,2020-04-15,21
Netherlands,2020-04-15,11
New Zealand,2020-04-15,0
United Kingdom,2020-04-15,26
Australia,2020-04-16,63
Canada,2020-04-16,1651
China,2020-04-16,3346
Denmark,2020-04-16,0
France,2020-04-16,21
Netherlands,2020-04-16,12
New Zealand,2020-04-16,0
United Kingdom,2020-04-16,30
Australia,2020-04-17,66
Canada,2020-04-17,1798
China,2020-04-17,4636
Denmark,2020-04-17,0
France,2020-04-17,22
Netherlands,2020-04-17,12
New Zealand,2020-04-17,0
United Kingdom,2020-04-17,31
Australia,2020-04-18,67
Canada,2020-04-18,1937
China,2020-04-18,4636
Denmark,2020-04-18,0
France,2020-04-18,22
Netherlands,2020-04-18,12
New Zealand,2020-04-18,0
United Kingdom,2020-04-18,36
Australia,2020-04-19,67
Canada,2020-04-19,2107
China,2020-04-19,4636
Denmark,2020-04-19,0
France,2020-04-19,26
Netherlands,2020-04-19,13
New Zealand,2020-04-19,0
United Kingdom,2020-04-19,38
Australia,2020-04-20,67
Canada,2020-04-20,2251
China,2020-04-20,4636
Denmark,2020-04-20,0
France,2020-04-20,27
Netherlands,2020-04-20,13
New Zealand,2020-04-20,0
United Kingdom,2020-04-20,42
Australia,2020-04-21,67
Canada,2020-04-21,2412
China,2020-04-21,4636
Denmark,2020-04-21,0
France,2020-04-21,33
Netherlands,2020-04-21,13
New Zealand,2020-04-21,0
United Kingdom,2020-04-21,42
Australia,2020-04-22,67
Canada,2020-04-22,2576
China,2020-04-22,4636
