Series Name,Country/Region,Year,Value
"Population, total",Afghanistan,2020,39068979.0
"Population, total",Albania,2020,2837849.0
"Population, total",Algeria,2020,44042091.0
"Population, total",American Samoa,2020,49761.0
"Population, total",Andorra,2020,77380.0
"Population, total",Angola,2020,33451132.0
"Population, total",Antigua and Barbuda,2020,91846.0
"Population, total",Argentina,2020,45191965.0
"Population, total",Armenia,2020,2961500.0
"Population, total",Aruba,2020,108587.0
"Population, total",Australia,2020,25649248.0
"Population, total",Austria,2020,8916864.0
"Population, total",Azerbaijan,2020,10093121.0
"Population, total",Bahamas,2020,395863.0
"Population, total",Bahrain,2020,1472204.0
"Population, total",Bangladesh,2020,166298024.0
"Population, total",Barbados,2020,281698.0
"Population, total",Belarus,2020,9379952.0
"Population, total",Belgium,2020,11538604.0
"Population, total",Belize,2020,390812.0
"Population, total",Benin,2020,13070169.0
"Population, total",Bermuda,2020,64382.0
"Population, total",Bhutan,2020,770006.0
"Population, total",Bolivia,2020,11816299.0
"Population, total",Bosnia and Herzegovina,2020,3299349.0
"Population, total",Botswana,2020,2365894.0
"Population, total",Brazil,2020,208660842.0
"Population, total",British Virgin Islands,2020,37135.0
"Population, total",Brunei,2020,447404.0
"Population, total",Bulgaria,2020,6934015.0
"Population, total",Burkina Faso,2020,21478690.0
"Population, total",Burundi,2020,12617036.0
"Population, total",Cabo Verde,2020,514679.0
"Population, total",Cambodia,2020,16725474.0
"Population, total",Cameroon,2020,26210558.0
"Population, total",Canada,2020,38028638.0
"Population, total",Cayman Islands,2020,68684.0
"Population, total",Central African Republic,2020,5026628.0
"Population, total",Chad,2020,17224679.0
"Population, total",Channel Islands,2020,166235.0
"Population, total",Chile,2020,19370624.0
"Population, total",China,2020,1411100000.0
"Population, total",Colombia,2020,50629997.0
"Population, total",Comoros,2020,802163.0
"Population, total",Congo (Kinshasa),2020,95989998.0
"Population, total",Congo (Brazzaville),2020,5752791.0
"Population, total",Costa Rica,2020,5034320.0
"Population, total",Cote d'Ivoire,2020,28915449.0
"Population, total",Croatia,2020,3914206.0
"Population, total",Cuba,2020,11176354.0
"Population, total",Curacao,2020,154947.0
"Population, total",Cyprus,2020,1302247.0
"Population, total",Czechia,2020,10697858.0
"Population, total",Denmark,2020,5831404.0
"Population, total",Djibouti,2020,1105188.0
"Population, total",Dominica,2020,67573.0
"Population, total",Dominican Republic,2020,11008300.0
"Population, total",Ecuador,2020,17546065.0
"Population, total",Egypt,2020,109315124.0
"Population, total",El Salvador,2020,6234673.0
"Population, total",Equatorial Guinea,2020,1716468.0
"Population, total",Eritrea,2020,3291271.0
"Population, total",Estonia,2020,1329522.0
"Population, total",Eswatini,2020,1192729.0
"Population, total",Ethiopia,2020,118917671.0
"Population, total",Faroe Islands,2020,52571.0
