Country/Region,Date,Recovered
Australia,2020-01-22,0
China,2020-01-22,28
Denmark,2020-01-22,0
France,2020-01-22,0
Netherlands,2020-01-22,0
New Zealand,2020-01-22,0
United Kingdom,2020-01-22,0
Australia,2020-01-23,0
China,2020-01-23,30
Denmark,2020-01-23,0
France,2020-01-23,0
Netherlands,2020-01-23,0
New Zealand,2020-01-23,0
United Kingdom,2020-01-23,0
Australia,2020-01-24,0
China,2020-01-24,36
Denmark,2020-01-24,0
France,2020-01-24,0
Netherlands,2020-01-24,0
New Zealand,2020-01-24,0
United Kingdom,2020-01-24,0
Australia,2020-01-25,0
China,2020-01-25,39
Denmark,2020-01-25,0
France,2020-01-25,0
Netherlands,2020-01-25,0
New Zealand,2020-01-25,0
United Kingdom,2020-01-25,0
Australia,2020-01-26,0
China,2020-01-26,49
Denmark,2020-01-26,0
France,2020-01-26,0
Netherlands,2020-01-26,0
New Zealand,2020-01-26,0
United Kingdom,2020-01-26,0
Australia,2020-01-27,0
China,2020-01-27,58
Denmark,2020-01-27,0
France,2020-01-27,0
Netherlands,2020-01-27,0
New Zealand,2020-01-27,0
United Kingdom,2020-01-27,0
Australia,2020-01-28,0
China,2020-01-28,101
Denmark,2020-01-28,0
France,2020-01-28,0
Netherlands,2020-01-28,0
New Zealand,2020-01-28,0
United Kingdom,2020-01-28,0
Australia,2020-01-29,0
China,2020-01-29,120
Denmark,2020-01-29,0
France,2020-01-29,0
Netherlands,2020-01-29,0
New Zealand,2020-01-29,0
United Kingdom,2020-01-29,0
Australia,2020-01-30,2
China,2020-01-30,135
Denmark,2020-01-30,0
France,2020-01-30,0
Netherlands,2020-01-30,0
New Zealand,2020-01-30,0
United Kingdom,2020-01-30,0
Australia,2020-01-31,2
China,2020-01-31,214
Denmark,2020-01-31,0
France,2020-01-31,0
Netherlands,2020-01-31,0
New Zealand,2020-01-31,0
United Kingdom,2020-01-31,0
Australia,2020-02-01,2
China,2020-02-01,275
Denmark,2020-02-01,0
France,2020-02-01,0
Netherlands,2020-02-01,0
New Zealand,2020-02-01,0
United Kingdom,2020-02-01,0
Australia,2020-02-02,2
China,2020-02-02,463
Denmark,2020-02-02,0
France,2020-02-02,0
Netherlands,2020-02-02,0
New Zealand,2020-02-02,0
United Kingdom,2020-02-02,0
Australia,2020-02-03,2
China,2020-02-03,614
Denmark,2020-02-03,0
France,2020-02-03,0
Netherlands,2020-02-03,0
New Zealand,2020-02-03,0
United Kingdom,2020-02-03,0
Australia,2020-02-04,2
China,2020-02-04,843
Denmark,2020-02-04,0
France,2020-02-04,0
Netherlands,2020-02-04,0
New Zealand,2020-02-04,0
United Kingdom,2020-02-04,0
Australia,2020-02-05,2
China,2020-02-05,1115
Denmark,2020-02-05,0
France,2020-02-05,0
Netherlands,2020-02-05,0
New Zealand,2020-02-05,0
United Kingdom,2020-02-05,0
Australia,2020-02-06,2
China,2020-02-06,1477
Denmark,2020-02-06,0
France,2020-02-06,0
Netherlands,2020-02-06,0
New Zealand,2020-02-06,0
United Kingdom,2020-02-06,0
Australia,2020-02-07,2
China,2020-02-07,1999
Denmark,2020-02-07,0
France,2020-02-07,0
Netherlands,2020-02-07,0
New Zealand,2020-02-07,0
United Kingdom,2020-02-07,0
Australia,2020-02-08,2
China,2020-02-08,2596
Denmark,2020-02-08,0
France,2020-02-08,0
Netherlands,2020-02-08,0
New Zealand,2020-02-08,0
United Kingdom,2020-02-08,0
Australia,2020-02-09,2
China,2020-02-09,3219
Denmark,2020-02-09,0
France,2020-02-09,0
Netherlands,2020-02-09,0
New Zealand,2020-02-09,0
United Kingdom,2020-02-09,0
Australia,2020-02-10,2
China,2020-02-10,3918
Denmark,2020-02-10,0
France,2020-02-10,0
Netherlands,2020-02-10,0
New Zealand,2020-02-10,0
United Kingdom,2020-02-10,0
Australia,2020-02-11,2
China,2020-02-11,4636
Denmark,2020-02-11,0
France,2020-02-11,0
Netherlands,2020-02-11,0
New Zealand,2020-02-11,0
United Kingdom,2020-02-11,0
Australia,2020-02-12,2
China,2020-02-12,5082
Denmark,2020-02-12,0
France,2020-02-12,0
Netherlands,2020-02-12,0
New Zealand,2020-02-12,0
United Kingdom,2020-02-12,0
Australia,2020-02-13,8
China,2020-02-13,6217
Denmark,2020-02-13,0
France,2020-02-13,0
Netherlands,2020-02-13,0
New Zealand,2020-02-13,0
United Kingdom,2020-02-13,0
Australia,2020-02-14,8
China,2020-02-14,7977
Denmark,2020-02-14,0
France,2020-02-14,0
Netherlands,2020-02-14,0
New Zealand,2020-02-14,0
United Kingdom,2020-02-14,0
Australia,2020-02-15,8
China,2020-02-15,9298
Denmark,2020-02-15,0
France,2020-02-15,0
Netherlands,2020-02-15,0
New Zealand,2020-02-15,0
United Kingdom,2020-02-15,0
Australia,2020-02-16,8
China,2020-02-16,10755
Denmark,2020-02-16,0
France,2020-02-16,0
Netherlands,2020-02-16,0
New Zealand,2020-02-16,0
United Kingdom,2020-02-16,0
Australia,2020-02-17,10
China,2020-02-17,12462
Denmark,2020-02-17,0
France,2020-02-17,0
Netherlands,2020-02-17,0
New Zealand,2020-02-17,0
United Kingdom,2020-02-17,0
Australia,2020-02-18,10
China,2020-02-18,14206
Denmark,2020-02-18,0
France,2020-02-18,0
Netherlands,2020-02-18,0
New Zealand,2020-02-18,0
United Kingdom,2020-02-18,0
Australia,2020-02-19,10
China,2020-02-19,15962
Denmark,2020-02-19,0
France,2020-02-19,0
Netherlands,2020-02-19,0
New Zealand,2020-02-19,0
United Kingdom,2020-02-19,0
Australia,2020-02-20,10
China,2020-02-20,18014
Denmark,2020-02-20,0
France,2020-02-20,0
Netherlands,2020-02-20,0
New Zealand,2020-02-20,0
United Kingdom,2020-02-20,0
Australia,2020-02-21,11
China,2020-02-21,18704
Denmark,2020-02-21,0
France,2020-02-21,0
Netherlands,2020-02-21,0
New Zealand,2020-02-21,0
United Kingdom,2020-02-21,0
Australia,2020-02-22,11
China,2020-02-22,22699
Denmark,2020-02-22,0
France,2020-02-22,0
Netherlands,2020-02-22,0
New Zealand,2020-02-22,0
United Kingdom,2020-02-22,0
Australia,2020-02-23,11
China,2020-02-23,23187
Denmark,2020-02-23,0
France,2020-02-23,0
Netherlands,2020-02-23,0
New Zealand,2020-02-23,0
United Kingdom,2020-02-23,0
Australia,2020-02-24,11
China,2020-02-24,25015
Denmark,2020-02-24,0
France,2020-02-24,0
Netherlands,2020-02-24,0
New Zealand,2020-02-24,0
United Kingdom,2020-02-24,0
Australia,2020-02-25,11
China,2020-02-25,27676
Denmark,2020-02-25,0
France,2020-02-25,0
Netherlands,2020-02-25,0
New Zealand,2020-02-25,0
United Kingdom,2020-02-25,0
Australia,2020-02-26,11
China,2020-02-26,30084
Denmark,2020-02-26,0
France,2020-02-26,0
Netherlands,2020-02-26,0
New Zealand,2020-02-26,0
United Kingdom,2020-02-26,0
Australia,2020-02-27,11
China,2020-02-27,32930
Denmark,2020-02-27,0
France,2020-02-27,0
Netherlands,2020-02-27,0
New Zealand,2020-02-27,0
United Kingdom,2020-02-27,0
Australia,2020-02-28,11
China,2020-02-28,36329
Denmark,2020-02-28,0
France,2020-02-28,0
Netherlands,2020-02-28,0
New Zealand,2020-02-28,0
United Kingdom,2020-02-28,0
Australia,2020-02-29,11
China,2020-02-29,39320
Denmark,2020-02-29,0
France,2020-02-29,0
Netherlands,2020-02-29,0
New Zealand,2020-02-29,0
United Kingdom,2020-02-29,0
Australia,2020-03-01,11
China,2020-03-01,42162
Denmark,2020-03-01,0
France,2020-03-01,0
Netherlands,2020-03-01,0
New Zealand,2020-03-01,0
United Kingdom,2020-03-01,0
Australia,2020-03-02,11
China,2020-03-02,44854
Denmark,2020-03-02,0
France,2020-03-02,0
Netherlands,2020-03-02,0
New Zealand,2020-03-02,0
United Kingdom,2020-03-02,0
Australia,2020-03-03,11
China,2020-03-03,47450
Denmark,2020-03-03,0
France,2020-03-03,0
Netherlands,2020-03-03,0
